index,name,description,group,unit
194,NucPos_ABar_lr_f,LR position of ABar nucleus at the first time point of interphase,8 cell,mm
195,NucDis_ABar_f-EC,distance between ABar nucleus and the embryonic center at the first time point of interphase,8 cell,mm
196,NucPos_ABpl_ap_f,AP position of ABpl nucleus at the first time point of interphase,8 cell,mm
197,NucPos_ABpl_dv_f,DV position of ABpl nucleus at the first time point of interphase,8 cell,mm
198,NucPos_ABpl_lr_f,LR position of ABpl nucleus at the first time point of interphase,8 cell,mm
199,NucDis_posABpl_f-EC,distance between ABpl nucleus and the embryonic center at the first time point of interphase,8 cell,mm
200,NucPos_ABpr_ap_f,AP position of ABpr nucleus at the first time point of interphase,8 cell,mm
201,NucPos_ABpr_dv_f,DV position of ABpr nucleus at the first time point of interphase,8 cell,mm
202,NucPos_ABpr_lr_f,LR position of ABpr nucleus at the first time point of interphase,8 cell,mm
203,NucDis_ABpr_f-EC,distance between ABpr nucleus and the embryonic center at the first time point of interphase,8 cell,mm
204,NucPos_E_ap_f,AP position of E nucleus at the first time point of interphase,8 cell,mm
205,NucPos_E_dv_f,DV position of E nucleus at the first time point of interphase,8 cell,mm
206,NucDis_E_f-EC,distance between E nucleus and the embryonic center at the first time point of interphase,8 cell,mm
207,NucPos_MS_ap_f,AP position of MS nucleus at the first time point of interphase,8 cell,mm
208,NucPos_MS_dv_f,DV position of MS nucleus at the first time point of interphase,8 cell,mm
209,NucPos_MS_lr_f,LR position of MS nucleus at the first time point of interphase,8 cell,mm
210,NucDis_MS_f-EC,distance between MS nucleus and the embryonic center at the first time point of interphase,8 cell,mm
211,NucPos_C_ap_f,AP position of C nucleus at the first time point of interphase,8 cell,mm
212,NucPos_C_dv_f,DV position of C nucleus at the first time point of interphase,8 cell,mm
213,NucPos_C_lr_f,LR position of C nucleus at the first time point of interphase,8 cell,mm
214,NucDis_C_f-EC,distance between C nucleus and the embryonic center at the first time point of interphase,8 cell,mm
215,NucPos_P3_ap_f,AP position of P3 nucleus at the first time point of interphase,8 cell,mm
216,NucPos_P3_dv_f,DV position of P3 nucleus at the first time point of interphase,8 cell,mm
217,NucPos_P3_lr_f,LR position of P3 nucleus at the first time point of interphase,8 cell,mm
218,NucDis_P3_f-EC,distance between P3 nucleus and the embryonic center at the first time point of interphase,8 cell,mm
219,NucPos_AB_ap_m,AP position of AB nucleus at the midpoint of interphase,2 cell,mm
220,NucPos_AB_dv_m,DV position of AB nucleus at the midpoint of interphase,2 cell,mm
221,NucPos_AB_lr_m,LR position of AB nucleus at the midpoint of interphase,2 cell,mm
222,NucDis_AB_m-EC,distance between AB nucleus and the embryonic center at the midpoint of interphase,2 cell,mm
223,NucPos_P1_ap_m,AP position of P1 nucleus at the midpoint of interphase,2 cell,mm
224,NucPos_P1_dv_m,DV position of P1 nucleus at the midpoint of interphase,2 cell,mm
225,NucPos_P1_lr_m,LR position of P1 nucleus at the midpoint of interphase,2 cell,mm
226,NucDis_P1_m-EC,distance between P1 nucleus and the emrbyonic center at the midpoint of interphase,2 cell,mm
227,NucPos_ABa_ap_m,AP position of ABa nucleus at the midpoint of interphase,4 cell,mm
228,NucPos_ABa_dv_m,DV position of ABa nucleus at the midpoint of interphase,4 cell,mm
229,NucPos_ABa_lr_m,LR position of ABa nucleus at the midpoint of interphase,4 cell,mm
230,NucDis_ABa_m-EC,distance between ABa nucleus and the embryonic center at the midpoint of interphase,4 cell,mm
231,NucPos_ABp_ap_m,AP position of ABp nucleus at the midpoint of interphase,4 cell,mm
232,NucPos_ABp_dv_m,DV position of ABp nucleus at the midpoint of interphase,4 cell,mm
233,NucPos_ABp_lr_m,LR position of ABp nucleus at the midpoint of interphase,4 cell,mm
234,NucDis_ABp_m-EC,distance between ABp nucleus and the embryonic center at the midpoint of interphase,4 cell,mm
235,NucPos_EMS_ap_m,AP position of EMS nucleus at the midpoint of interphase,4 cell,mm
236,NucPos_EMS_dv_m,DV position of EMS nucleus at the midpoint of interphase,4 cell,mm
237,NucDis_EMS_m-EC,distance between EMS nucleus and the embryonic center at the midpoint of interphase,4 cell,mm
238,NucPos_P2_ap_m,AP position of P2 nucleus at the midpoint of interphase,4 cell,mm
239,NucPos_P2_dv_m,DV position of P2 nucleus at the midpoint of interphase,4 cell,mm
240,NucPos_P2_lr_m,LR position of P2 nucleus at the midpoint of interphase,4 cell,mm
241,NucDis_P2_m-EC,distance between P2 nucleus and the embryonic center at the midpoint of interphase,4 cell,mm
242,NucPos_AB_ap_m2,AP position of AB nucleus at the midpoint of interphase of both AB and P1,2 cell,mm
243,NucPos_AB_dv_m2,DV position of AB nucleus at the midpoint of interphase of both AB and P1,2 cell,mm
244,NucPos_AB_lr_m2,LR position of AB nucleus at the midpoint of interphase of both AB and P1,2 cell,mm
245,NucDis_AB_m2-EC,distance between AB nucleus and the embryonic center at the midpoint of interphase of both AB and P1,2 cell,mm
246,NucPos_P1_ap_m2,AP position of P1 nucleus at the midpoint of interphase of both AB and P1,2 cell,mm
247,NucPos_P1_dv_m2,DV position of P1 nucleus at the midpoint of interphase of both AB and P1,2 cell,mm
248,NucPos_P1_lr_m2,LR position of P1 nucleus at the midpoint of interphase of both AB and P1,2 cell,mm
249,NucDis_P1_m2-EC,distance between P1 nucleus and the embryonic center at the midpoint of interphase of both AB and P1,2 cell,mm
250,NucPos_ABa_ap_m4,AP position of ABa nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
251,NucPos_ABa_dv_m4,DV position of ABa nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
252,NucPos_ABa_lr_m4,LR position of ABa nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
253,NucPos_ABa_m4-EC,distance between ABa nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
254,NucPos_ABp_ap_m4,AP position of ABp nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
255,NucPos_ABp_dv_m4,DV position of ABp nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
256,NucPos_ABp_lr_m4,LR position of ABp nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
257,NucDis_ABp_m4-EC,distance between ABp nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
258,NucPos_EMS_ap_m4,AP position of EMS nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
259,NucPos_EMS_dv_m4,DV position of EMS nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
260,NucDis_EMS_m4-EC,distance between EMS nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
261,NucPos_P2_ap_m4,AP position of P2 nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
262,NucPos_P2_dv_m4,DV position of P2 nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
263,NucPos_P2_lr_m4,LR position of P2 nucleus at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
264,NucDis_P2_m4-EC,distance between P2 nucleus and the embryonic center at the midpoint of interphase all of cells at the 4-cell stage,4 cell,mm
265,NucPos_P0_ap_l,AP position of P0 nucleus at the last time point of interphase,1 cell,mm
266,NucPos_P0_dv_l,DV position of P0 nucleus at the last time point of interphase,1 cell,mm
267,NucPos_P0_lr_l,LR position of P0 nucleus at the last time point of interphase,1 cell,mm
268,NucPos_P0_l-EC,distance between P0 nucleus and the embryonic center at the last time point of interphase,1 cell,mm
269,NucPos_AB_ap_l,AP position of AB nucleus at the last time point of interphase,2 cell,mm
270,NucPos_AB_dv_l,DV position of AB nucleus at the last time point of interphase,2 cell,mm
271,NucPos_AB_lr_l,LR position of AB nucleus at the last time point of interphase,2 cell,mm
272,NucDis_AB_l-EC,distance between AB nucleus and the embryonic center at the last time point of interphase,2 cell,mm
273,NucPos_P1_ap_l,AP position of P1 nucleus at the last time point of interphase,2 cell,mm
274,NucPos_P1_dv_l,DV position of P1 nucleus at the last time point of interphase,2 cell,mm
275,NucPos_P1_lr_l,LR position of P1 nucleus at the last time point of interphase,2 cell,mm
276,NucDis_P1_l-EC,distance between P1 nucleus and the embryonic center at the last time point of interphase,2 cell,mm
277,NucPos_ABa_ap_l,AP position of ABa nucleus at the last time point of interphase,4 cell,mm
278,NucPos_ABa_dv_l,DV position of ABa nucleus at the last time point of interphase,4 cell,mm
279,NucPos_ABa_lr_l,LR position of ABa nucleus at the last time point of interphase,4 cell,mm
280,NucDis_ABa_l-EC,distance between ABa nucleus and the embryonic center at the last time point of interphase,4 cell,mm
281,NucPos_ABp_ap_l,AP position of ABp nucleus at the last time point of interphase,4 cell,mm
282,NucPos_ABp_dv_l,DV position of ABp nucleus at the last time point of interphase,4 cell,mm
283,NucPos_ABp_lr_l,LR position of ABp nucleus at the last time point of interphase,4 cell,mm
284,NucDis_ABp_l-EC,distance between ABp nucleus and the embryonic center at the last time point of interphase,4 cell,mm
285,NucPos_EMS_ap_l,AP position of EMS nucleus at the last time point of interphase,4 cell,mm
286,NucPos_EMS_dv_l,DV position of EMS nucleus at the last time point of interphase,4 cell,mm
287,NucDis_EMS_l-EC,distance between EMS nucleus and the embryonic center at the last time point of interphase,4 cell,mm
288,NucPos_P2_ap_l,AP position of P2 nucleus at the last time point of interphase,4 cell,mm
289,NucPos_P2_dv_l,DV position of P2 nucleus at the last time point of interphase,4 cell,mm
290,NucPos_P2_lr_l,LR position of P2 nucleus at the last time point of interphase,4 cell,mm
291,NucDis_P2_l-EC,distance between P2 nucleus and the embryonic center at the last time point of interphase,4 cell,mm
292,NucDis_wt_AB_f,distance between AB nucleus and mean position of AB nucleus of wt embryos at the first time point of interphase,2 cell,mm
293,NucDis_wt_P1_f,distance between P1 nucleus and mean position of P1 nucleus of wt embryos at the first time point of interphase,2 cell,mm
294,NucDis_wt_ABa_f,distance between ABa nucleus and mean position of ABa nucleus of wt embryos at the first time point of interphase,4 cell,mm
295,NucDis_wt_ABp_f,distance between ABp nucleus and mean position of ABp nucleus of wt embryos at the first time point of interphase,4 cell,mm
